Instead of going to the gym i just sit around nd drink protein shakes
"I will never be a girl who drink any of those ""skinny girl"" cocktails. Give me beer or give me death. "
"Being my own motivation to get back to this! Healthier diet, more water, more exercise   #fitfriday #fitness http://t.co/SrtLQtnbPd"
"My diet the last 2 days have been rubbish, alcohol, energy drinks, chocolate, haribos, more alcohol and more energy drinks"
Kind of happy I forgot to bring my protein to the gym because now I get to drink it with milk #betterthanwater
Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"Katanya ""@/TheWeirdWorld: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."" cc @Deezka"
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @Factsionary: If you want to burn fat faster, a cup of coffee before a workout will speed up the process.@mzpilson"
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
here i am expecting one of those tiny ass skinny bottles of wine but my dad brings me back a 1.5L bottle and a pack of mikes hard lemonade
Pre work out and post work out drinks got me feeling some type of way. #GNC
"I will never be a girl who drink any of those ""skinny girl"" cocktails. Give me beer or give me death. "
"No food, no sleep, lots of wine and tissues and Adele and Drake RT @vintagescrm: What does the heartbreak diet actually consists of? Water?"
"""@goldenxgen: I want to be skinny but @ the same time I want to stuff my face with pizza and drink a lot of beer #thestruggle"" MY LIFE! "
Meeting friends tonight for a couple drinks means I'm now eating extra protein and ber-hydrating. #elderly 
It's Hard Work
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
i sometimes dont eat so i can drink beer and not feel so guilty about the calories
"Greys anatomy, large diet coke my idea of a perfect start to a long weekend."
My favorite protein drink after my #workout! It even calls me #beautiful!  #svelte #organic http://t.co/BeK5M0OW90
"""THURSDAY BIKE NIGHT"" block party everyone welcome! - Gates Open 4pm w/Happy Hour Drinks & Beer - 6pm $2 BudLt... http://t.co/0kTpwvNu7x"
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
0wned by DodePersie #DodeOnTTI ~ Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Reduce caloric intake immediately. Replace calorie-laden drinks with water. #fitness  Fit2balive http://t.co/vFNTDrayWy
Post workout poke bowl from foodland with some waiolalife coconut water. No more poi! #liveku #hawaii http://t.co/h8isdekzQ3
Fit Camp was awesome! Time to refuel with herbalife tea and healthy meal shake then off to the gym for round TWO!!!!
A woman needs a man like a fish needs a bike. If that was true then how is the fish ever going to get back to the water with out it's bike?
Some husband just brought a vitamin water all the way to the gym cuz she forgot it how fudging cute
"@TheUnusualFact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process. #BurnFat #GFITcertified"
@jordanfox97 I don't workout obviously but I know where you're coming from on the chocolate milk aspect #thebest
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"Two mile jog with Juliette done, now it's time to bake airplane cookies for Brad & drink recovery smoothies! http://t.co/wL1QTUq4tN"
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Love your coffee like I do? Drink it before workout and burn fat #fitfam #fitness Caffeine and Fitness - Fit2balive http://t.co/kSm2DYY0Es
Paleo Friendly Kombucha BEER and Tea from @ukomb http://t.co/E2WJXpbG0Y #paleo #certifiedpaleo #kombucha #beer
"I should work out, but I really want to drink a mikes hard lemonade and eat pizza :)"
@AllAthletesKnow: All athletes know that you basically marry chocolate milk after a workout. And before games 
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"Ok.. I'll try.. ""@Factsionary: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."""
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
I'm going to workout and drink chocolate milk afterwards they say it's good to drink it after exercising
@JYMPowered you sip on that during the workout or drink it all pre workout? I usually do preJYM then sip on 1.5 scoops projym during..
peanut butter on wheat bread and chocolate milk is a great post-workout snack
My boys went to the gym while I eat pizza and drink beer
